Country,Decade,Land Temperature,Population
United States,1900,8.448224999999999,76391000.0
United States,1910,8.460249999999998,92767000.0
United States,1920,8.755250000000002,106881000.0
United States,1930,9.086991666666668,123668000.0
United States,1940,8.924091666666667,132637000.0
United States,1950,8.913233333333336,152271000.0
United States,1960,8.721916666666667,180671000.0
United States,1970,8.696924999999998,205052000.0
United States,1980,9.104308333333334,227726463.0
United States,1990,9.31755833333333,250131894.0
United States,2000,9.646724999999996,282158000.0
